updateDate,code,code_name
2018-11-26,sh.600936,广西广电
2018-11-26,sh.600939,重庆建工
2018-11-26,sh.600967,内蒙一机
2018-11-26,sh.600970,中材国际
2018-11-26,sh.600971,恒源煤电
2018-11-26,sh.600978,宜华生活
2018-11-26,sh.600993,马应龙
2018-11-26,sh.600996,贵广网络
2018-11-26,sh.601000,唐山港
2018-11-26,sh.601001,大同煤业
2018-11-26,sh.601016,节能风电
2018-11-26,sh.601019,山东出版
2018-11-26,sh.601020,华钰矿业
2018-11-26,sh.601098,中南传媒
2018-11-26,sh.601127,小康股份
2018-11-26,sh.601128,常熟银行
2018-11-26,sh.601168,西部矿业
2018-11-26,sh.601179,中国西电
2018-11-26,sh.601200,上海环境
2018-11-26,sh.601233,桐昆股份
2018-11-26,sh.601311,骆驼股份
2018-11-26,sh.601608,中信重工
2018-11-26,sh.601678,滨化股份
2018-11-26,sh.601689,拓普集团
2018-11-26,sh.601717,郑煤机
2018-11-26,sh.601777,力帆股份
2018-11-26,sh.601801,皖新传媒
2018-11-26,sh.601811,新华文轩
2018-11-26,sh.601872,招商轮船
2018-11-26,sh.601880,大连港
2018-11-26,sh.601928,凤凰传媒
2018-11-26,sh.601966,玲珑轮胎
2018-11-26,sh.601969,海南矿业
2018-11-26,sh.603000,人民网
2018-11-26,sh.603019,中科曙光
2018-11-26,sh.603025,大豪科技
2018-11-26,sh.603056,德邦股份
2018-11-26,sh.603077,和邦生物
2018-11-26,sh.603169,兰石重装
2018-11-26,sh.603188,亚邦股份
2018-11-26,sh.603198,迎驾贡酒
2018-11-26,sh.603225,新凤鸣
2018-11-26,sh.603228,景旺电子
2018-11-26,sh.603328,依顿电子
2018-11-26,sh.603355,莱克电气
2018-11-26,sh.603369,今世缘
2018-11-26,sh.603377,东方时尚
2018-11-26,sh.603444,吉比特
2018-11-26,sh.603515,欧普照明
2018-11-26,sh.603556,海兴电力
2018-11-26,sh.603568,伟明环保
2018-11-26,sh.603569,长久物流
2018-11-26,sh.603589,口子窖
2018-11-26,sh.603658,安图生物
2018-11-26,sh.603659,璞泰来
2018-11-26,sh.603766,隆鑫通用
2018-11-26,sh.603806,福斯特
2018-11-26,sh.603816,顾家家居
2018-11-26,sh.603868,飞科电器
2018-11-26,sh.603877,太平鸟
2018-11-26,sh.603883,老百姓
2018-11-26,sh.603885,吉祥航空
2018-11-26,sh.603888,新华网
2018-11-26,sh.603899,晨光文具
2018-11-26,sz.000006,深振业A
2018-11-26,sz.000008,神州高铁
2018-11-26,sz.000009,中国宝安
2018-11-26,sz.000012,南玻A
2018-11-26,sz.000021,深科技
2018-11-26,sz.000025,特力A
2018-11-26,sz.000027,深圳能源
2018-11-26,sz.000028,国药一致
2018-11-26,sz.000031,中粮地产
2018-11-26,sz.000039,中集集团
2018-11-26,sz.000049,德赛电池
2018-11-26,sz.000061,农产品
2018-11-26,sz.000062,深圳华强
2018-11-26,sz.000066,中国长城
2018-11-26,sz.000078,海王生物
2018-11-26,sz.000089,深圳机场
2018-11-26,sz.000090,天健集团
2018-11-26,sz.000156,华数传媒
2018-11-26,sz.000158,常山北明
2018-11-26,sz.000400,许继电气
2018-11-26,sz.000401,冀东水泥
2018-11-26,sz.000418,小天鹅A
2018-11-26,sz.000426,兴业矿业
2018-11-26,sz.000488,晨鸣纸业
2018-11-26,sz.000501,鄂武商A
2018-11-26,sz.000513,丽珠集团
2018-11-26,sz.000519,中兵红箭
2018-11-26,sz.000528,柳工
2018-11-26,sz.000536,华映科技
2018-11-26,sz.000541,佛山照明
2018-11-26,sz.000543,皖能电力
2018-11-26,sz.000547,航天发展
2018-11-26,sz.000552,靖远煤电
2018-11-26,sz.000553,沙隆达A
2018-11-26,sz.000563,陕国投A
2018-11-26,sz.000566,海南海药
2018-11-26,sz.000572,海马汽车
2018-11-26,sz.000581,威孚高科
2018-11-26,sz.000587,金洲慈航
2018-11-26,sz.000592,平潭发展
2018-11-26,sz.000596,古井贡酒
2018-11-26,sz.000598,兴蓉环境
2018-11-26,sz.000600,建投能源
2018-11-26,sz.000612,焦作万方
2018-11-26,sz.000636,风华高科
2018-11-26,sz.000656,金科股份
2018-11-26,sz.000661,长春高新
2018-11-26,sz.000667,美好置业
2018-11-26,sz.000681,视觉中国
2018-11-26,sz.000685,中山公用
2018-11-26,sz.000686,东北证券
2018-11-26,sz.000690,宝新能源
2018-11-26,sz.000703,恒逸石化
2018-11-26,sz.000712,锦龙股份
2018-11-26,sz.000718,苏宁环球
2018-11-26,sz.000727,华东科技
2018-11-26,sz.000729,燕京啤酒
2018-11-26,sz.000732,泰禾集团
2018-11-26,sz.000738,航发控制
2018-11-26,sz.000750,国海证券
2018-11-26,sz.000758,中色股份
2018-11-26,sz.000761,本钢板材
2018-11-26,sz.000762,西藏矿业
2018-11-26,sz.000766,通化金马
2018-11-26,sz.000778,新兴铸管
2018-11-26,sz.000806,银河生物
2018-11-26,sz.000807,云铝股份
2018-11-26,sz.000813,德展健康
2018-11-26,sz.000825,太钢不锈
2018-11-26,sz.000829,天音控股
2018-11-26,sz.000830,鲁西化工
2018-11-26,sz.000848,承德露露
2018-11-26,sz.000860,顺鑫农业
2018-11-26,sz.000877,天山股份
2018-11-26,sz.000878,云南铜业
2018-11-26,sz.000887,中鼎股份
2018-11-26,sz.000926,福星股份
2018-11-26,sz.000930,中粮生化
2018-11-26,sz.000937,冀中能源
2018-11-26,sz.000960,锡业股份
2018-11-26,sz.000969,安泰科技
2018-11-26,sz.000970,中科三环
2018-11-26,sz.000975,银泰资源
2018-11-26,sz.000977,浪潮信息
2018-11-26,sz.000979,中弘退
2018-11-26,sz.000980,众泰汽车
2018-11-26,sz.000987,越秀金控
2018-11-26,sz.000988,华工科技
2018-11-26,sz.000990,诚志股份
2018-11-26,sz.000997,新大陆
2018-11-26,sz.000999,华润三九
2018-11-26,sz.001696,宗申动力
2018-11-26,sz.002002,鸿达兴业
2018-11-26,sz.002004,华邦健康
2018-11-26,sz.002011,盾安环境
2018-11-26,sz.002013,中航机电
2018-11-26,sz.002019,亿帆医药
2018-11-26,sz.002022,科华生物
2018-11-26,sz.002028,思源电气
2018-11-26,sz.002030,达安基因
2018-11-26,sz.002038,双鹭药业
2018-11-26,sz.002041,登海种业
2018-11-26,sz.002048,宁波华翔
2018-11-26,sz.002049,紫光国微
2018-11-26,sz.002051,中工国际
2018-11-26,sz.002056,横店东磁
2018-11-26,sz.002064,华峰氨纶
2018-11-26,sz.002073,软控股份
2018-11-26,sz.002078,太阳纸业
2018-11-26,sz.002092,中泰化学
2018-11-26,sz.002093,国脉科技
2018-11-26,sz.002110,三钢闽光
2018-11-26,sz.002118,紫鑫药业
2018-11-26,sz.002127,南极电商
2018-11-26,sz.002128,露天煤业
2018-11-26,sz.002129,中环股份
2018-11-26,sz.002131,利欧股份
2018-11-26,sz.002147,新光圆成
2018-11-26,sz.002152,广电运通
2018-11-26,sz.002155,湖南黄金
2018-11-26,sz.002174,游族网络
2018-11-26,sz.002176,江特电机
2018-11-26,sz.002179,中航光电
2018-11-26,sz.002180,纳思达
2018-11-26,sz.002183,怡亚通
2018-11-26,sz.002190,成飞集成
2018-11-26,sz.002191,劲嘉股份
2018-11-26,sz.002195,二三四五
2018-11-26,sz.002212,南洋股份
2018-11-26,sz.002221,东华能源
2018-11-26,sz.002223,鱼跃医疗
2018-11-26,sz.002233,塔牌集团
2018-11-26,sz.002242,九阳股份
2018-11-26,sz.002244,滨江集团
2018-11-26,sz.002249,大洋电机
2018-11-26,sz.002250,联化科技
2018-11-26,sz.002251,步步高
2018-11-26,sz.002254,泰和新材
2018-11-26,sz.002261,拓维信息
2018-11-26,sz.002266,浙富控股
2018-11-26,sz.002268,卫士通
2018-11-26,sz.002273,水晶光电
2018-11-26,sz.002276,万马股份
2018-11-26,sz.002277,友阿股份
2018-11-26,sz.002280,联络互动
2018-11-26,sz.002281,光迅科技
2018-11-26,sz.002285,世联行
2018-11-26,sz.002299,圣农发展
2018-11-26,sz.002302,西部建设
2018-11-26,sz.002308,威创股份
2018-11-26,sz.002317,众生药业
2018-11-26,sz.002332,仙琚制药
2018-11-26,sz.002340,格林美
2018-11-26,sz.002342,巨力索具
2018-11-26,sz.002344,海宁皮城
2018-11-26,sz.002345,潮宏基
2018-11-26,sz.002353,杰瑞股份
2018-11-26,sz.002354,天神娱乐
2018-11-26,sz.002358,森源电气
2018-11-26,sz.002359,北讯集团
2018-11-26,sz.002366,台海核电
2018-11-26,sz.002368,太极股份
2018-11-26,sz.002371,北方华创
2018-11-26,sz.002373,千方科技
2018-11-26,sz.002375,亚厦股份
2018-11-26,sz.002384,东山精密
2018-11-26,sz.002390,信邦制药
2018-11-26,sz.002399,海普瑞
2018-11-26,sz.002400,省广集团
2018-11-26,sz.002407,多氟多
2018-11-26,sz.002408,齐翔腾达
2018-11-26,sz.002410,广联达
2018-11-26,sz.002414,高德红外
2018-11-26,sz.002416,爱施德
2018-11-26,sz.002424,贵州百灵
2018-11-26,sz.002426,胜利精密
2018-11-26,sz.002428,云南锗业
2018-11-26,sz.002431,棕榈股份
2018-11-26,sz.002434,万里扬
2018-11-26,sz.002437,誉衡药业
2018-11-26,sz.002439,启明星辰
2018-11-26,sz.002440,闰土股份
2018-11-26,sz.002444,巨星科技
2018-11-26,sz.002463,沪电股份
2018-11-26,sz.002465,海格通信
2018-11-26,sz.002477,雏鹰农牧
2018-11-26,sz.002479,富春环保
2018-11-26,sz.002482,广田集团
2018-11-26,sz.002489,浙江永强
2018-11-26,sz.002491,通鼎互联
2018-11-26,sz.002503,搜于特
2018-11-26,sz.002505,大康农业
2018-11-26,sz.002506,协鑫集成
2018-11-26,sz.002509,天广中茂
2018-11-26,sz.002512,达华智能
2018-11-26,sz.002517,恺英网络
2018-11-26,sz.002544,杰赛科技
2018-11-26,sz.002563,森马服饰
2018-11-26,sz.002573,清新环境
2018-11-26,sz.002583,海能达
2018-11-26,sz.002588,史丹利
2018-11-26,sz.002589,瑞康医药
2018-11-26,sz.002600,领益智造
2018-11-26,sz.002603,以岭药业
2018-11-26,sz.002635,安洁科技
2018-11-26,sz.002640,跨境通
2018-11-26,sz.002642,荣之联
2018-11-26,sz.002657,中科金财
2018-11-26,sz.002663,普邦股份
2018-11-26,sz.002665,首航节能
2018-11-26,sz.002670,国盛金控
2018-11-26,sz.002672,东江环保
2018-11-26,sz.002681,奋达科技
2018-11-26,sz.002690,美亚光电
2018-11-26,sz.002699,美盛文化
2018-11-26,sz.002701,奥瑞金
2018-11-26,sz.002707,众信旅游
2018-11-26,sz.002709,天赐材料
2018-11-26,sz.002745,木林森
2018-11-26,sz.002807,江阴银行
2018-11-26,sz.002815,崇达技术
2018-11-26,sz.002818,富森美
2018-11-26,sz.002831,裕同科技
2018-11-26,sz.002839,张家港行
2018-11-26,sz.002841,视源股份
2018-11-26,sz.002916,深南电路
2018-11-26,sz.002920,德赛西威
2018-11-26,sz.300001,特锐德
2018-11-26,sz.300002,神州泰岳
2018-11-26,sz.300010,立思辰
2018-11-26,sz.300026,红日药业
2018-11-26,sz.300032,金龙机电
2018-11-26,sz.300039,上海凯宝
2018-11-26,sz.300043,星辉娱乐
2018-11-26,sz.300055,万邦达
2018-11-26,sz.300058,蓝色光标
2018-11-26,sz.300088,长信科技
2018-11-26,sz.300113,顺网科技
2018-11-26,sz.300115,长盈精密
2018-11-26,sz.300116,坚瑞沃能
2018-11-26,sz.300133,华策影视
2018-11-26,sz.300134,大富科技
2018-11-26,sz.300146,汤臣倍健
2018-11-26,sz.300156,神雾环保
2018-11-26,sz.300159,新研股份
2018-11-26,sz.300166,东方国信
2018-11-26,sz.300182,捷成股份
2018-11-26,sz.300197,铁汉生态
2018-11-26,sz.300199,翰宇药业
2018-11-26,sz.300202,聚龙股份
2018-11-26,sz.300244,迪安诊断
2018-11-26,sz.300253,卫宁健康
2018-11-26,sz.300257,开山股份
2018-11-26,sz.300266,兴源环境
2018-11-26,sz.300273,和佳股份
2018-11-26,sz.300274,阳光电源
2018-11-26,sz.300287,飞利信
2018-11-26,sz.300291,华录百纳
2018-11-26,sz.300297,蓝盾股份
2018-11-26,sz.300308,中际旭创
2018-11-26,sz.300315,掌趣科技
2018-11-26,sz.300324,旋极信息
2018-11-26,sz.300376,易事特
2018-11-26,sz.300383,光环新网
2018-11-26,sz.300418,昆仑万维
